day,pillar,video_angle,hook,cta,offer_stage,status
1,Beginner confidence,Brand intro and who this helps,"If the gym feels confusing, start here.",Free 7-Day Strength Reset,Lead magnet,Draft
2,Form fixes,Squat setup checklist,"Before you add weight to your squat, check these 3 things.",Save and follow,Awareness,Draft
3,Simple programming,What to train on day one,"Your first gym session does not need to be complicated.",Free 7-Day Strength Reset,Lead magnet,Draft
4,Myth-busting,No perfect split needed,"Stop waiting for the perfect workout split.",Comment RESET,Lead magnet,Draft
5,Form fixes,Bench press stability,"If your bench press feels wobbly, try this setup.",Save and follow,Awareness,Draft
6,Product education,Show lead magnet pages,"I made a free 7-day plan for people who feel lost in the gym.",Download in bio,Lead magnet,Draft
7,Personality,Founder training clip,"What I wish I knew when I started lifting.",Follow for simple strength,Awareness,Draft
8,Form fixes,Deadlift setup,"If deadlifts only hit your lower back, check this first.",Free reset in bio,Lead magnet,Draft
9,Simple programming,Progressive overload simple,"Here is how to know when to add weight.",Save this,Awareness,Draft
10,Beginner confidence,Gym anxiety,"Gym confidence starts before you touch a barbell.",Comment your sticking point,Insight,Draft
11,Product education,Starter product waitlist,"I am building the Beginner Barbell Blueprint. Here is what it includes.",Join waitlist,Starter product,Draft
12,Form fixes,Overhead press cue,"Your press may not be weak. Your setup may be leaking strength.",Save and follow,Awareness,Draft
13,Myth-busting,Soreness myths,"Being sore is not the goal. Progress is.",Free reset in bio,Lead magnet,Draft
14,Simple programming,Two-day plan,"Busy week? Use this two-day strength structure.",Download free reset,Lead magnet,Draft
15,Product education,Behind-the-scenes,"Here is the beginner plan page I wish I had years ago.",Join waitlist,Starter product,Draft
16,Form fixes,Row mistake,"If rows turn into biceps only, use this cue.",Save this,Awareness,Draft
17,Beginner confidence,First week expectations,"Your first week back should feel too easy.",Free reset in bio,Lead magnet,Draft
18,Simple programming,Rest times,"How long should beginners rest between sets?",Save and follow,Awareness,Draft
19,Product education,Objection: random plans,"Random workouts are why progress feels random.",Join waitlist,Starter product,Draft
20,Form fixes,Warm-up sets,"Stop wasting energy before your working sets.",Free reset in bio,Lead magnet,Draft
21,Personality,Gym humour/relatable,"When the plan says easy reps but your ego says add plates.",Follow,Awareness,Draft
22,Product education,Launch announcement,"The Beginner Barbell Blueprint is live.",Buy now,Starter product,Draft
23,Product education,Product walkthrough,"Here is exactly what you get inside the beginner plan.",Buy now,Starter product,Draft
24,Form fixes,Squat depth nuance,"Your squat depth depends on more than motivation.",Save and follow,Awareness,Draft
25,Simple programming,How to pick starting weight,"The right starting weight should feel almost boring.",Buy blueprint,Starter product,Draft
26,Beginner confidence,Consistency,"The plan you repeat beats the plan you admire.",Free reset in bio,Lead magnet,Draft
27,Product education,FAQ video,"Who is the Beginner Barbell Blueprint actually for?",Buy now,Starter product,Draft
28,Myth-busting,Nutrition basics,"Do not overcomplicate nutrition before fixing consistency.",Join email list,Core plan,Draft
29,Customer insight,Answer a buyer/comment question,"Someone asked how to progress if the gym is busy.",Buy blueprint,Starter product,Draft
30,Analytics loop,Month recap,"Here is what beginners asked me most this month.",Follow and download reset,Lead magnet,Draft
